user_id,name,type,fails,misses,successes
60921d824a8a41c1a2f413eb2797de3c,Nancy,Experienced,0,0,50
432ccec0834d49d986f0002652c80abe,Marylou,Experienced,1,0,49
0e6c0e6e16ac493b83c64f0056058cbc,Ken,Experienced,0,1,49
07f7819a9bac44b9a8674e4b8870695b,Gabriella,Experienced,1,0,49
02053fab19064d049339a0bedbe3e051,Mathew,Experienced,0,1,49
ecd67d6423a34947a722e839163d01bb,James,Experienced,0,2,48
c8528f6235404dda905730da6236a15c,Steven,Experienced,1,1,48
afb07a47775643cf9b110f780a001f7c,Timmy,Experienced,0,2,48
7eac93c97d694515bd565b74341bb7d6,John,Experienced,0,2,48
4f3f66345395405b8cace9f3aeeb4b7f,Dwight,Experienced,2,0,48
4aa678091e084f1ea6b0f324567ccfd5,Robert,Experienced,0,2,48
f23878f15d3b4fd8bd8871a1f60d04ba,Troy,Experienced,1,2,47
9353ef977dff43969d78dd3aeeafd2bc,Jenniffer,Experienced,1,2,47
8ba62407933d4906b237272678c4a6dd,Sandy,Experienced,0,3,47
87fdb78608b04ad990f128e8738bac96,Ivan,Experienced,0,3,47
5789096c86bb4439b74a1b17252a657d,Vivian,Experienced,2,1,47
42c257598069440e8978c56e95975929,Harry,Experienced,1,2,47
369e7ebe60644dc790c5d5fdcbf71c31,Joseph,Experienced,2,1,47
15bcc0afe28744a497d73f15273dab6e,Marco,Experienced,2,1,47
c0f55f0a8d0043d684a109b32c56f6a4,Mary,Experienced,0,4,46
b8aae700fece482e95df3097db5ff451,Nicholas,Experienced,1,3,46
7dcdda04e60d40788cb032b4dfba6d11,Jesse,Experienced,1,3,46
b2314c0ce3894b6a8d789e0ea82857b5,Kenneth,Experienced,1,4,45
a2268cc84cf84e97b18b551b948d570c,Clara,Standard,2,3,45
8780b933bd994a1fa224953f2f362c5d,Kevin,Experienced,1,4,45
2964fb470a6f43f0880292acb99a56ed,Mario,Experienced,2,3,45
12455761f09b415d91ad0d1cc4f436c4,Marlene,Standard,3,2,45
3ced69039c30461d8ffa9c9b04450d19,Gloria,Standard,0,6,44
b84be074dfad455bba5b38ec0030a2f6,Rachel,Standard,1,6,43
848479cd169d47c5b6104f915efdbd8d,Shannon,Standard,2,5,43
3c0b0e57d82f4e9ab5c4c1b9608374e2,Margaret,Standard,1,6,43
d271c23716134490b47d9c43061dceef,Nicole,Standard,2,6,42
9826ff456c5e4b9b89bb0e411de29b65,Cynthia,Standard,0,8,42
72380d039792478b94e6539815f3aa37,Kenneth,Standard,1,7,42
2f0659bf83b54c3489d9994158201b36,Stanley,Standard,2,6,42
276739a008534816b22a464d56d74e16,George,Standard,3,5,42
db011aa9d4624e91a59262197dd4e9de,Gloria,Standard,3,6,41
ce2f63ac630540e99bb70ebd2ce7f048,Terina,Standard,2,7,41
a771a033f6454eb18be93d0c37b91288,Frank,Standard,2,7,41
93a11c5df6a442a784a089b8c417b7f5,Tony,Standard,1,8,41
8a7258f023cb4a6bb28e59cba256b220,Queenie,Standard,2,7,41
88bf74a8c7384183bcb4bea9b0330900,Gladys,Standard,4,5,41
6123fac751a640148ed535414eb48341,Amanda,Standard,2,7,41
2a8c73d384334a8abee2213d2c2d660e,Gustavo,Standard,3,6,41
8d7a76a499ea4f748b55122c1bb1ab43,Stephen,Standard,3,7,40
57f9335e71414ddc979c64d0145325a3,Brian,Standard,1,9,40
4ba9aba876204ccba02d1bfbdaff067c,Christy,Standard,2,8,40
074f62089f394a57bbd966918e259294,Christopher,Standard,3,7,40
78b325b4a7614890974e73848bd46866,Christina,Standard,4,7,39
6d8c483f904a49f5b17aa620d5b04a29,Ann,Standard,4,7,39
69c9068c56584ae19d13cfe231aa006a,Tawny,Standard,3,8,39
446bd50425334244a56f097fb9302af8,Derek,Standard,5,6,39
09c336937dac440f87cfb6b9f134e7d7,Steven,Standard,3,8,39
d9d79789e92d45839a05521c150a3fb7,Tara,Standard,3,9,38
d456c6238c264451b7914d679b4133f0,Lucy,Standard,3,9,38
cb64684f5eb7464b8298a5ea656b0174,Ian,Standard,0,12,38
c072d7a7e12448ff9eb984b6861f2887,Cheryl,Standard,6,6,38
f4bdcdf673c9409e83ddf58da800366d,Christian,Standard,4,9,37
f03f6d5c8a0d4b49a15b3323e0299cd9,Janet,Standard,5,8,37
b0a8da909050421f88afc1a672ab3a83,Jeremy,Standard,3,10,37
a81acfcfce5640a680ef08c2c2b5bbbb,Mark,Standard,4,9,37
9d854829174f4d1990fc511c5a22f64a,Lucille,Standard,5,8,37
7bad27c218074d0aafb3fc079279de50,Stephen,Standard,5,8,37
4fa609966eb140f4aa7f46e9b1c0954b,Emma,Standard,2,11,37
fbeccd6c2960475cab47c002c9a2afb3,Gertrude,Standard,4,10,36
